leaf_rate,stem_rate,root_rate,sr,time,speed,water,nitrate,leaf_mass,stem_mass,root_mass,starch_mass
0.0,0.0,0.19062137225413853,0.05608734536274189,488528109,2400,42229010.30613978,108603.15903196632,1,1.0,7.945660198339876,17425.508893400467
0.0,0.0,0.182879979843906,0.05380956221299965,490953119,2400,42616850.3061398,107966.75698873935,1,1.0,8.044317097882036,16698.365541619343
0.0,0.0,0.17242431985704712,0.050733148452340546,493337312,2400,42998546.306139804,107365.872283859,1,1.0,8.13746799611804,15982.739028324191
0.0,0.0,0.15959731158388732,0.046959002696909155,495702297,2400,43376402.30613981,106805.04101451157,1,1.0,8.224409694041517,15274.308949742275
0.0,0.0,0.14410039600984842,0.04239927864508788,498175327,2400,43768850.30613981,106265.88423927335,1,1.0,8.307991348717609,14538.516941843021
0.0,0.0,0.12719503488803816,0.03742514160836189,500571525,2400,44154386.30613981,105787.6535009136,1,1.0,8.38212807158718,13815.679510718759
0.0,0.0,0.10964445089818635,0.032261157874973065,502950916,2400,44528402.30613982,105378.14047965623,1,1.0,8.445611973672946,13114.43596280668
0.0,0.0,0.0865443682439535,0.025464321306151696,505402337,2400,44917010.30613983,105011.36037563732,1,1.0,8.502471294382833,12385.828611098454
0.0,0.0,0.08443457946497089,0.024843549089007686,507748114,2400,45299090.30613984,104726.71738570773,1,1.0,8.546597480277002,11669.453948098126
0.0,0.0,1.3509532714395343,0.397496785424123,533184312,38400,47282450.30613984,101811.52387271472,1,1.0,8.590296954924844,10942.279040082698
0.0,0.0,0.08443457946497089,0.024843549089007686,540999703,2400,47282450.306139834,100848.35175080586,1,1.0,9.276335440089646,0
0.0,0.0,0.0,0.0,542030790,240,47282450.306139834,100725.2968135269,1,1.0,9.319905114317747,0
0.0,0.0,0.0,0.0,542271067,240,47282450.306139834,100725.2968135269,1,1.0,9.317286714498639,0.0
0.0,0.0,0.0,0.0,542514236,240,47282450.306139834,100725.2968135269,1,1.0,9.314644765414638,0.0
0.0,0.0,0.0,0.0,542756200,240,47282450.30613983,100725.2968135269,1,1.0,9.31201075064868,0.0
0.0,0.0,0.0,0.0,542995031,240,47282450.30613983,100725.2968135269,1,1.0,9.309408280452534,0.0
0.0,0.0,0.0,0.0,544264682,2400,47282450.30613983,100725.2968135269,1,1.0,9.295874826945512,0.0
0.0,0.0,0.0,0.0,546682489,2400,47282450.30613983,100725.2968135269,1,1.0,9.269515758775498,0.0
0.0,0.0,0.0,0.0,547540999,240,47282450.30613983,100725.2968135269,1,1.0,9.259975609428425,0.0
0.0,0.0,0.0,0.0,547778866,240,47282450.30613983,100725.2968135269,1,1.0,9.257384866787948,0.0
0.0,0.0,0.0,0.0,548023963,240,47282450.30613983,100725.2968135269,1,1.0,9.254720766357385,0.0
0.0,0.0,0.007775463600144486,0.002287808062336851,549776731,2400,47282450.30613983,100725.2968135269,1,1.0,9.236435624664342,0.0
0.0,0.0,0.026128518446589498,0.007687906243675784,552120107,2400,47282386.431483716,100699.69774099157,1,1.0,9.24040406749758,0.002278656830087504
0.0,0.0,0.04410238274654906,0.012976433561330759,554571528,2400,47282386.431483716,100611.51590703343,1,1.0,9.25407427240474,0.010128009104880473
0.0,0.0,0.005123129498423209,0.0015074004038383728,555512600,240,47282386.431483716,100552.70788834321,1,1.0,9.276492858746774,0.023000631197720597
0.0,0.0,0.005285558322894283,0.001555192534737669,555751190,240,47282386.431483716,100535.90880418342,1,1.0,9.27909710173434,0.024495972398328222
